order_id,customer_id,product_id,quantity,order_date,status
1,681,37,1,2025-11-08,SHIPPED
2,562,21,4,2025-12-02,SHIPPED
3,669,25,3,2025-12-04,SHIPPED
4,665,32,5,2025-11-14,DELIVERED
5,999,5,4,2025-12-11,PENDING
6,160,26,5,2025-12-18,PENDING
7,920,43,4,2025-11-02,SHIPPED
8,142,14,3,2025-12-08,DELIVERED
9,736,10,3,2025-10-22,PENDING
10,859,45,1,2025-11-15,CANCELLED
11,63,35,4,2025-11-10,DELIVERED
12,217,11,4,2025-11-02,DELIVERED
13,995,3,1,2025-11-25,CANCELLED
14,60,11,4,2025-11-24,CANCELLED
15,397,28,2,2025-12-08,CANCELLED
16,887,40,5,2025-10-24,CANCELLED
17,96,49,2,2025-11-09,DELIVERED
18,445,43,4,2025-10-22,PENDING
19,437,50,4,2025-12-01,CANCELLED
20,245,39,5,2025-10-27,DELIVERED
21,100,5,4,2025-11-10,DELIVERED
22,143,42,3,2025-11-14,CANCELLED
23,320,11,2,2025-12-04,DELIVERED
24,22,12,3,2025-11-01,SHIPPED
25,521,23,1,2025-11-06,DELIVERED
26,699,33,5,2025-10-27,CANCELLED
27,151,33,3,2025-12-09,CANCELLED
28,480,5,5,2025-11-03,PENDING
29,981,20,1,2025-12-03,CANCELLED
30,672,9,2,2025-11-30,SHIPPED
31,168,14,5,2025-10-29,DELIVERED
32,355,35,5,2025-11-17,DELIVERED
33,852,11,2,2025-12-17,CANCELLED
34,518,28,5,2025-11-27,PENDING
35,217,8,5,2025-10-25,PENDING
36,147,37,2,2025-11-05,DELIVERED
37,85,3,4,2025-12-18,SHIPPED
38,684,44,2,2025-12-07,PENDING
39,859,14,5,2025-10-31,CANCELLED
40,157,45,5,2025-11-07,PENDING
41,552,45,3,2025-12-06,CANCELLED
42,879,11,1,2025-12-06,DELIVERED
43,777,26,4,2025-11-17,DELIVERED
44,504,42,2,2025-12-09,DELIVERED
45,478,16,2,2025-11-10,PENDING
46,262,26,1,2025-11-12,
47,507,41,2,2025-10-22,CANCELLED
48,274,10,5,2025-12-08,SHIPPED
49,292,25,1,2025-12-02,DELIVERED
50,590,30,5,2025-11-08,PENDING
51,398,32,3,2025-11-07,SHIPPED
52,732,29,5,2025-12-15,CANCELLED
53,17,48,1,2025-11-05,PENDING
54,722,39,2,2025-11-24,CANCELLED
55,246,13,2,2025-11-21,PENDING
56,835,45,5,2025-11-10,PENDING
57,133,24,4,2025-12-10,PENDING
58,947,16,5,2025-11-24,SHIPPED
59,95,21,5,2025-11-29,DELIVERED
60,749,8,2,2025-10-26,CANCELLED
61,628,4,4,2025-10-21,SHIPPED
62,686,11,4,2025-10-22,
63,283,50,5,2025-10-30,SHIPPED
64,181,22,2,2025-11-30,SHIPPED
65,845,11,1,2025-11-11,DELIVERED
66,571,12,4,2025-11-16,PENDING
67,621,36,2,2025-11-12,CANCELLED
68,847,39,3,2025-10-26,DELIVERED
69,421,33,3,2025-10-21,DELIVERED
70,382,16,3,2025-11-22,DELIVERED
71,239,31,3,2025-11-25,CANCELLED
72,643,13,5,2025-12-05,SHIPPED
73,107,49,3,2025-10-29,CANCELLED
74,139,13,1,2025-12-12,PENDING
75,363,17,4,2025-11-08,CANCELLED
76,548,34,4,2025-10-23,CANCELLED
77,729,48,1,2025-10-27,DELIVERED
78,780,5,3,2025-10-29,PENDING
79,820,2,3,2025-11-01,SHIPPED
80,978,46,3,2025-10-21,SHIPPED
81,181,29,3,2025-11-01,PENDING
82,483,28,1,2025-11-08,SHIPPED
83,118,28,5,2025-11-19,SHIPPED
84,916,21,1,2025-11-20,CANCELLED
85,576,45,2,2025-12-19,CANCELLED
86,761,38,4,2025-11-27,DELIVERED
87,332,2,5,2025-10-27,DELIVERED
88,718,28,5,2025-10-29,DELIVERED
89,917,40,1,2025-12-13,SHIPPED
90,468,6,1,2025-12-09,PENDING
91,713,23,4,2025-12-04,SHIPPED
92,746,41,2,2025-11-06,PENDING
93,193,11,5,2025-11-13,DELIVERED
94,723,31,5,2025-10-22,DELIVERED
95,33,36,3,2025-11-17,SHIPPED
96,793,32,5,2025-11-17,DELIVERED
97,233,49,1,2025-10-31,CANCELLED
98,925,22,4,2025-11-08,CANCELLED
99,423,36,4,2025-10-22,CANCELLED
100,946,44,3,2025-11-17,SHIPPED
101,65,47,3,2025-12-06,SHIPPED
102,844,20,2,2025-12-06,PENDING
103,386,27,3,2025-11-07,SHIPPED
104,926,42,1,2025-11-23,CANCELLED
105,492,35,5,2025-11-25,DELIVERED
106,223,33,4,2025-12-14,SHIPPED
107,945,46,2,2025-11-16,DELIVERED
108,400,6,1,2025-10-22,DELIVERED
109,255,43,3,2025-12-20,PENDING
110,426,14,4,2025-10-28,CANCELLED
111,399,46,2,2025-11-08,CANCELLED
112,588,31,1,2025-12-17,DELIVERED
113,701,23,5,2025-12-19,SHIPPED
114,480,26,2,2025-11-28,PENDING
115,845,8,2,2025-10-23,PENDING
116,353,7,1,2025-12-05,PENDING
117,485,17,1,2025-11-28,DELIVERED
118,689,7,5,2025-11-10,CANCELLED
119,963,47,3,2025-11-01,SHIPPED
120,237,32,5,2025-11-05,SHIPPED
121,560,24,5,2025-12-19,DELIVERED
122,928,50,2,2025-11-17,PENDING
123,999999,18,1,2025-11-12,PENDING
124,467,18,5,2025-10-23,CANCELLED
125,172,47,4,2025-11-29,CANCELLED
126,143,50,3,2025-10-29,CANCELLED
127,315,8,1,2025-12-05,SHIPPED
128,107,19,2,2025-12-05,CANCELLED
129,60,20,2,2025-11-14,SHIPPED
130,855,6,5,2025-11-03,DELIVERED
131,344,39,5,2025-11-13,DELIVERED
132,421,47,5,2025-11-28,CANCELLED
133,221,6,5,2025-11-01,CANCELLED
134,793,13,5,2025-10-23,CANCELLED
135,234,5,5,2025-11-25,DELIVERED
136,896,46,5,2025-10-21,PENDING
137,416,12,1,2025-11-02,SHIPPED
