product_id,name,category,price,stock_level
1,Product_1,Books,322.31,47
2,Product_2,Clothing,384.83,70
3,Product_3,Books,222.66,9
4,Product_4,Books,41.56,70
5,Product_5,Home,129.31,60
6,Product_6,Electronics,471.61,29
7,Product_7,Electronics,390.22,37
8,Product_8,Books,316.58,28
9,Product_9,Electronics,122.55,83
10,Product_10,Clothing,143.17,48
11,Product_11,Clothing,96.46,82
12,Product_12,Home,67.71,84
13,Product_13,Clothing,272.46,22
14,Product_14,Home,117.28,64
15,Product_15,Books,479.84,30
16,Product_16,Clothing,418.75,8
17,Product_17,Home,477.88,43
18,Product_18,Home,44.79,89
19,Product_19,Home,338.03,45
20,Product_20,Electronics,485.94,1
21,Product_21,Electronics,59.91,9
22,Product_22,Home,437.95,31
23,Product_23,Electronics,353.68,45
24,Product_24,Electronics,73.0,41
25,Product_25,Clothing,317.5,78
26,Product_26,Clothing,222.24,30
27,Product_27,Electronics,51.86,20
28,Product_28,Clothing,204.87,63
29,Product_29,Electronics,129.6,82
30,Product_30,Home,477.34,61
31,Product_31,Books,456.28,4
32,Product_32,Electronics,497.78,24
33,Product_33,Books,249.09,8
34,Product_34,Books,126.96,74
35,Product_35,Books,300.82,98
36,Product_36,Electronics,313.92,85
37,Product_37,Electronics,467.93,33
38,Product_38,Electronics,467.65,70
39,Product_39,Books,231.09,44
40,Product_40,Clothing,280.89,58
41,Product_41,Electronics,11.72,10
42,Product_42,Clothing,390.45,30
43,Product_43,Clothing,340.43,98
44,Product_44,Electronics,155.65,91
45,Product_45,Clothing,492.16,25
46,Product_46,Electronics,447.64,6
47,Product_47,Clothing,238.6,77
48,Product_48,Home,29.31,91
49,Product_49,Home,420.13,8
50,Product_50,Books,94.72,91
